axis           sinus    cosine
-0.67094    -0.62172   0.78324
-0.66853    -0.61984   0.78473
-0.66613    -0.61795   0.78622
-0.66373    -0.61606   0.78770
-0.66133    -0.61417   0.78918
-0.65893    -0.61227   0.79065
-0.65653    -0.61037   0.79212
-0.65412    -0.60846   0.79358
-0.65172    -0.60656   0.79504
-0.64932    -0.60464   0.79650
-0.64692    -0.60273   0.79795
-0.64452    -0.60081   0.79939
-0.64211    -0.59889   0.80083
-0.63971    -0.59696   0.80227
-0.63731    -0.59504   0.80370
-0.63491    -0.59310   0.80513
-0.63251    -0.59117   0.80655
-0.63010    -0.58923   0.80797
-0.62770    -0.58729   0.80938
-0.62530    -0.58534   0.81079
-0.62290    -0.58339   0.81219
-0.62050    -0.58144   0.81359
-0.61809    -0.57948   0.81498
-0.61569    -0.57752   0.81637
-0.61329    -0.57556   0.81776
-0.61089    -0.57360   0.81914
-0.60849    -0.57163   0.82051
-0.60608    -0.56965   0.82188
-0.60368    -0.56768   0.82325
-0.60128    -0.56570   0.82461
-0.59888    -0.56372   0.82597
-0.59648    -0.56173   0.82732
-0.59408    -0.55974   0.82867
-0.59167    -0.55775   0.83001
-0.58927    -0.55576   0.83135
-0.58687    -0.55376   0.83268
-0.58447    -0.55176   0.83401
-0.58207    -0.54975   0.83533
-0.57966    -0.54774   0.83665
-0.57726    -0.54573   0.83796
-0.57486    -0.54372   0.83927
-0.57246    -0.54170   0.84057
-0.57006    -0.53968   0.84187
-0.56765    -0.53766   0.84316
-0.56525    -0.53563   0.84445
-0.56285    -0.53360   0.84574
-0.56045    -0.53157   0.84702
-0.55805    -0.52953   0.84829
-0.55564    -0.52749   0.84956
-0.55324    -0.52545   0.85083
-0.55084    -0.52340   0.85208
-0.54844    -0.52136   0.85334
-0.54604    -0.51930   0.85459
-0.54363    -0.51725   0.85583
-0.54123    -0.51519   0.85707
-0.53883    -0.51313   0.85831
-0.53643    -0.51107   0.85954
-0.53403    -0.50900   0.86076
-0.53163    -0.50693   0.86198
-0.52922    -0.50486   0.86320
-0.52682    -0.50279   0.86441
-0.52442    -0.50071   0.86561
-0.52202    -0.49863   0.86681
-0.51962    -0.49655   0.86801
-0.51721    -0.49446   0.86920
-0.51481    -0.49237   0.87039
-0.51241    -0.49028   0.87157
-0.51001    -0.48818   0.87274
-0.50761    -0.48609   0.87391
-0.50520    -0.48399   0.87508
-0.50280    -0.48188   0.87624
-0.50040    -0.47978   0.87739
-0.49800    -0.47767   0.87854
-0.49560    -0.47556   0.87969
-0.49319    -0.47344   0.88082
-0.49079    -0.47133   0.88196
-0.48839    -0.46921   0.88309
-0.48599    -0.46708   0.88421
-0.48359    -0.46496   0.88533
-0.48118    -0.46283   0.88645
-0.47878    -0.46070   0.88756
-0.47638    -0.45857   0.88866
-0.47398    -0.45643   0.88976
-0.47158    -0.45429   0.89085
-0.46918    -0.45215   0.89194
-0.46677    -0.45001   0.89302
-0.46437    -0.44786   0.89410
-0.46197    -0.44571   0.89518
-0.45957    -0.44356   0.89624
-0.45717    -0.44141   0.89731
-0.45476    -0.43925   0.89836
-0.45236    -0.43709   0.89942
-0.44996    -0.43493   0.90046
-0.44756    -0.43277   0.90151
-0.44516    -0.43060   0.90254
-0.44275    -0.42843   0.90358
-0.44035    -0.42626   0.90460
-0.43795    -0.42408   0.90562
-0.43555    -0.42191   0.90664
-0.43315    -0.41973   0.90765
-0.43074    -0.41755   0.90866
-0.42834    -0.41536   0.90966
-0.42594    -0.41318   0.91065
-0.42354    -0.41099   0.91164
-0.42114    -0.40880   0.91262
-0.41873    -0.40661   0.91360
-0.41633    -0.40441   0.91458
-0.41393    -0.40221   0.91555
-0.41153    -0.40001   0.91651
-0.40913    -0.39781   0.91747
-0.40673    -0.39560   0.91842
-0.40432    -0.39340   0.91937
-0.40192    -0.39119   0.92031
-0.39952    -0.38898   0.92125
-0.39712    -0.38676   0.92218
-0.39472    -0.38455   0.92311
-0.39231    -0.38233   0.92403
-0.38991    -0.38011   0.92494
-0.38751    -0.37788   0.92585
-0.38511    -0.37566   0.92676
-0.38271    -0.37343   0.92766
-0.38030    -0.37120   0.92855
-0.37790    -0.36897   0.92944
-0.37550    -0.36674   0.93032
-0.37310    -0.36450   0.93120
-0.37070    -0.36226   0.93208
-0.36829    -0.36002   0.93294
-0.36589    -0.35778   0.93380
-0.36349    -0.35554   0.93466
-0.36109    -0.35329   0.93551
-0.35869    -0.35105   0.93636
-0.35629    -0.34879   0.93720
-0.35388    -0.34654   0.93803
-0.35148    -0.34429   0.93886
-0.34908    -0.34203   0.93969
-0.34668    -0.33977   0.94051
-0.34428    -0.33751   0.94132
-0.34187    -0.33525   0.94213
-0.33947    -0.33299   0.94293
-0.33707    -0.33072   0.94373
-0.33467    -0.32846   0.94452
-0.33227    -0.32619   0.94531
-0.32986    -0.32391   0.94609
-0.32746    -0.32164   0.94686
-0.32506    -0.31937   0.94763
-0.32266    -0.31709   0.94840
-0.32026    -0.31481   0.94915
-0.31785    -0.31253   0.94991
-0.31545    -0.31025   0.95066
-0.31305    -0.30796   0.95140
-0.31065    -0.30568   0.95214
-0.30825    -0.30339   0.95287
-0.30584    -0.30110   0.95359
-0.30344    -0.29881   0.95431
-0.30104    -0.29651   0.95503
-0.29864    -0.29422   0.95574
-0.29624    -0.29192   0.95644
-0.29384    -0.28963   0.95714
-0.29143    -0.28733   0.95783
-0.28903    -0.28502   0.95852
-0.28663    -0.28272   0.95920
-0.28423    -0.28042   0.95988
-0.28183    -0.27811   0.96055
-0.27942    -0.27580   0.96121
-0.27702    -0.27349   0.96187
-0.27462    -0.27118   0.96253
-0.27222    -0.26887   0.96318
-0.26982    -0.26655   0.96382
-0.26741    -0.26424   0.96446
-0.26501    -0.26192   0.96509
-0.26261    -0.25960   0.96572
-0.26021    -0.25728   0.96634
-0.25781    -0.25496   0.96695
-0.25540    -0.25264   0.96756
-0.25300    -0.25031   0.96817
-0.25060    -0.24799   0.96876
-0.24820    -0.24566   0.96936
-0.24580    -0.24333   0.96994
-0.24339    -0.24100   0.97053
-0.24099    -0.23867   0.97110
-0.23859    -0.23633   0.97167
-0.23619    -0.23400   0.97224
-0.23379    -0.23166   0.97280
-0.23139    -0.22933   0.97335
-0.22898    -0.22699   0.97390
-0.22658    -0.22465   0.97444
-0.22418    -0.22231   0.97498
-0.22178    -0.21996   0.97551
-0.21938    -0.21762   0.97603
-0.21697    -0.21528   0.97655
-0.21457    -0.21293   0.97707
-0.21217    -0.21058   0.97758
-0.20977    -0.20823   0.97808
-0.20737    -0.20588   0.97858
-0.20496    -0.20353   0.97907
-0.20256    -0.20118   0.97955
-0.20016    -0.19883   0.98003
-0.19776    -0.19647   0.98051
-0.19536    -0.19412   0.98098
-0.19295    -0.19176   0.98144
-0.19055    -0.18940   0.98190
-0.18815    -0.18704   0.98235
-0.18575    -0.18468   0.98280
-0.18335    -0.18232   0.98324
-0.18094    -0.17996   0.98367
-0.17854    -0.17760   0.98410
-0.17614    -0.17523   0.98453
-0.17374    -0.17287   0.98495
-0.17134    -0.17050   0.98536
-0.16894    -0.16813   0.98576
-0.16653    -0.16576   0.98617
-0.16413    -0.16340   0.98656
-0.16173    -0.16103   0.98695
-0.15933    -0.15865   0.98733
-0.15693    -0.15628   0.98771
-0.15452    -0.15391   0.98808
-0.15212    -0.15154   0.98845
-0.14972    -0.14916   0.98881
-0.14732    -0.14679   0.98917
-0.14492    -0.14441   0.98952
-0.14251    -0.14203   0.98986
-0.14011    -0.13965   0.99020
-0.13771    -0.13728   0.99053
-0.13531    -0.13490   0.99086
-0.13291    -0.13252   0.99118
-0.13050    -0.13013   0.99150
-0.12810    -0.12775   0.99181
-0.12570    -0.12537   0.99211
-0.12330    -0.12299   0.99241
-0.12090    -0.12060   0.99270
-0.11849    -0.11822   0.99299
-0.11609    -0.11583   0.99327
-0.11369    -0.11345   0.99354
-0.11129    -0.11106   0.99381
-0.10889    -0.10867   0.99408
-0.10649    -0.10628   0.99434
-0.10408    -0.10390   0.99459
-0.10168    -0.10151   0.99483
-0.09928    -0.09912   0.99508
-0.09688    -0.09673   0.99531
-0.09448    -0.09434   0.99554
-0.09207    -0.09194   0.99576
-0.08967    -0.08955   0.99598
-0.08727    -0.08716   0.99619
-0.08487    -0.08477   0.99640
-0.08247    -0.08237   0.99660
-0.08006    -0.07998   0.99680
-0.07766    -0.07758   0.99699
-0.07526    -0.07519   0.99717
-0.07286    -0.07279   0.99735
-0.07046    -0.07040   0.99752
-0.06805    -0.06800   0.99769
-0.06565    -0.06561   0.99785
-0.06325    -0.06321   0.99800
-0.06085    -0.06081   0.99815
-0.05845    -0.05841   0.99829
-0.05604    -0.05602   0.99843
-0.05364    -0.05362   0.99856
-0.05124    -0.05122   0.99869
-0.04884    -0.04882   0.99881
-0.04644    -0.04642   0.99892
-0.04404    -0.04402   0.99903
-0.04163    -0.04162   0.99913
-0.03923    -0.03922   0.99923
-0.03683    -0.03682   0.99932
-0.03443    -0.03442   0.99941
-0.03203    -0.03202   0.99949
-0.02962    -0.02962   0.99956
-0.02722    -0.02722   0.99963
-0.02482    -0.02482   0.99969
-0.02242    -0.02242   0.99975
-0.02002    -0.02001   0.99980
-0.01761    -0.01761   0.99984
-0.01521    -0.01521   0.99988
-0.01281    -0.01281   0.99992
-0.01041    -0.01041   0.99995
-0.00801    -0.00801   0.99997
-0.00560    -0.00560   0.99998
-0.00320    -0.00320   0.99999
-0.00080    -0.00080   1.00000
0.00160      0.00160   1.00000
0.00400      0.00400   0.99999
0.00641      0.00641   0.99998
0.00881      0.00881   0.99996
0.01121      0.01121   0.99994
0.01361      0.01361   0.99991
0.01601      0.01601   0.99987
0.01841      0.01841   0.99983
0.02082      0.02082   0.99978
0.02322      0.02322   0.99973
0.02562      0.02562   0.99967
0.02802      0.02802   0.99961
0.03042      0.03042   0.99954
0.03283      0.03282   0.99946
0.03523      0.03522   0.99938
0.03763      0.03762   0.99929
0.04003      0.04002   0.99920
0.04243      0.04242   0.99910
0.04484      0.04482   0.99900
0.04724      0.04722   0.99888
0.04964      0.04962   0.99877
0.05204      0.05202   0.99865
0.05444      0.05442   0.99852
0.05685      0.05681   0.99838
0.05925      0.05921   0.99825
0.06165      0.06161   0.99810
0.06405      0.06401   0.99795
0.06645      0.06640   0.99779
0.06886      0.06880   0.99763
0.07126      0.07120   0.99746
0.07366      0.07359   0.99729
0.07606      0.07599   0.99711
0.07846      0.07838   0.99692
0.08086      0.08078   0.99673
0.08327      0.08317   0.99654
0.08567      0.08556   0.99633
0.08807      0.08796   0.99612
0.09047      0.09035   0.99591
0.09287      0.09274   0.99569
0.09528      0.09513   0.99546
0.09768      0.09752   0.99523
0.10008      0.09991   0.99500
0.10248      0.10230   0.99475
0.10488      0.10469   0.99450
0.10729      0.10708   0.99425
0.10969      0.10947   0.99399
0.11209      0.11186   0.99372
0.11449      0.11424   0.99345
0.11689      0.11663   0.99318
0.11930      0.11901   0.99289
0.12170      0.12140   0.99260
0.12410      0.12378   0.99231
0.12650      0.12616   0.99201
0.12890      0.12855   0.99170
0.13131      0.13093   0.99139
0.13371      0.13331   0.99107
0.13611      0.13569   0.99075
0.13851      0.13807   0.99042
0.14091      0.14045   0.99009
0.14331      0.14282   0.98975
0.14572      0.14520   0.98940
0.14812      0.14758   0.98905
0.15052      0.14995   0.98869
0.15292      0.15233   0.98833
0.15532      0.15470   0.98796
0.15773      0.15707   0.98759
0.16013      0.15944   0.98721
0.16253      0.16182   0.98682
0.16493      0.16419   0.98643
0.16733      0.16655   0.98603
0.16974      0.16892   0.98563
0.17214      0.17129   0.98522
0.17454      0.17365   0.98481
0.17694      0.17602   0.98439
0.17934      0.17838   0.98396
0.18175      0.18075   0.98353
0.18415      0.18311   0.98309
0.18655      0.18547   0.98265
0.18895      0.18783   0.98220
0.19135      0.19019   0.98175
0.19376      0.19254   0.98129
0.19616      0.19490   0.98082
0.19856      0.19726   0.98035
0.20096      0.19961   0.97988
0.20336      0.20196   0.97939
0.20576      0.20432   0.97891
0.20817      0.20667   0.97841
0.21057      0.20902   0.97791
0.21297      0.21136   0.97741
0.21537      0.21371   0.97690
0.21777      0.21606   0.97638
0.22018      0.21840   0.97586
0.22258      0.22074   0.97533
0.22498      0.22309   0.97480
0.22738      0.22543   0.97426
0.22978      0.22777   0.97372
0.23219      0.23011   0.97317
0.23459      0.23244   0.97261
0.23699      0.23478   0.97205
0.23939      0.23711   0.97148
0.24179      0.23944   0.97091
0.24420      0.24178   0.97033
0.24660      0.24411   0.96975
0.24900      0.24643   0.96916
0.25140      0.24876   0.96856
0.25380      0.25109   0.96796
0.25620      0.25341   0.96736
0.25861      0.25573   0.96675
0.26101      0.25806   0.96613
0.26341      0.26038   0.96551
0.26581      0.26269   0.96488
0.26821      0.26501   0.96425
0.27062      0.26733   0.96361
0.27302      0.26964   0.96296
0.27542      0.27195   0.96231
0.27782      0.27426   0.96165
0.28022      0.27657   0.96099
0.28263      0.27888   0.96033
0.28503      0.28118   0.95965
0.28743      0.28349   0.95898
0.28983      0.28579   0.95829
0.29223      0.28809   0.95760
0.29464      0.29039   0.95691
0.29704      0.29269   0.95621
0.29944      0.29498   0.95550
0.30184      0.29728   0.95479
0.30424      0.29957   0.95407
0.30665      0.30186   0.95335
0.30905      0.30415   0.95262
0.31145      0.30644   0.95189
0.31385      0.30872   0.95115
0.31625      0.31101   0.95041
0.31865      0.31329   0.94966
0.32106      0.31557   0.94890
0.32346      0.31785   0.94814
0.32586      0.32012   0.94738
0.32826      0.32240   0.94660
0.33066      0.32467   0.94583
0.33307      0.32694   0.94504
0.33547      0.32921   0.94426
0.33787      0.33148   0.94346
0.34027      0.33374   0.94266
0.34267      0.33601   0.94186
0.34508      0.33827   0.94105
0.34748      0.34053   0.94023
0.34988      0.34278   0.93941
0.35228      0.34504   0.93859
0.35468      0.34729   0.93776
0.35709      0.34955   0.93692
0.35949      0.35179   0.93608
0.36189      0.35404   0.93523
0.36429      0.35629   0.93438
0.36669      0.35853   0.93352
0.36910      0.36077   0.93265
0.37150      0.36301   0.93178
0.37390      0.36525   0.93091
0.37630      0.36748   0.93003
0.37870      0.36972   0.92914
0.38110      0.37195   0.92825
0.38351      0.37417   0.92736
0.38591      0.37640   0.92646
0.38831      0.37863   0.92555
0.39071      0.38085   0.92464
0.39311      0.38307   0.92372
0.39552      0.38528   0.92280
0.39792      0.38750   0.92187
0.40032      0.38971   0.92094
0.40272      0.39192   0.92000
0.40512      0.39413   0.91905
0.40753      0.39634   0.91810
0.40993      0.39854   0.91715
0.41233      0.40075   0.91619
0.41473      0.40294   0.91522
0.41713      0.40514   0.91425
0.41954      0.40734   0.91328
0.42194      0.40953   0.91230
0.42434      0.41172   0.91131
0.42674      0.41391   0.91032
0.42914      0.41609   0.90932
0.43155      0.41827   0.90832
0.43395      0.42046   0.90731
0.43635      0.42263   0.90630
0.43875      0.42481   0.90528
0.44115      0.42698   0.90426
0.44355      0.42915   0.90323
0.44596      0.43132   0.90220
0.44836      0.43349   0.90116
0.45076      0.43565   0.90012
0.45316      0.43781   0.89907
0.45556      0.43997   0.89801
0.45797      0.44212   0.89695
0.46037      0.44428   0.89589
0.46277      0.44643   0.89482
0.46517      0.44858   0.89374
0.46757      0.45072   0.89266
0.46998      0.45286   0.89158
0.47238      0.45501   0.89049
0.47478      0.45714   0.88939
0.47718      0.45928   0.88829
0.47958      0.46141   0.88719
0.48199      0.46354   0.88608
0.48439      0.46567   0.88496
0.48679      0.46779   0.88384
0.48919      0.46991   0.88271
0.49159      0.47203   0.88158
0.49400      0.47415   0.88045
0.49640      0.47626   0.87930
0.49880      0.47837   0.87816
0.50120      0.48048   0.87701
0.50360      0.48258   0.87585
0.50600      0.48469   0.87469
0.50841      0.48679   0.87352
0.51081      0.48888   0.87235
0.51321      0.49098   0.87117
0.51561      0.49307   0.86999
0.51801      0.49516   0.86880
0.52042      0.49724   0.86761
0.52282      0.49932   0.86642
0.52522      0.50140   0.86521
0.52762      0.50348   0.86401
0.53002      0.50555   0.86279
0.53243      0.50762   0.86158
0.53483      0.50969   0.86036
0.53723      0.51176   0.85913
0.53963      0.51382   0.85790
0.54203      0.51588   0.85666
0.54444      0.51794   0.85542
0.54684      0.51999   0.85417
0.54924      0.52204   0.85292
0.55164      0.52409   0.85167
0.55404      0.52613   0.85040
0.55645      0.52817   0.84914
0.55885      0.53021   0.84787
0.56125      0.53224   0.84659
0.56365      0.53428   0.84531
0.56605      0.53630   0.84402
0.56845      0.53833   0.84273
0.57086      0.54035   0.84144
0.57326      0.54237   0.84014
0.57566      0.54439   0.83883
0.57806      0.54640   0.83752
0.58046      0.54841   0.83621
0.58287      0.55042   0.83489
0.58527      0.55242   0.83356
0.58767      0.55442   0.83223
0.59007      0.55642   0.83090
0.59247      0.55842   0.82956
0.59488      0.56041   0.82822
0.59728      0.56239   0.82687
0.59968      0.56438   0.82552
0.60208      0.56636   0.82416
0.60448      0.56834   0.82280
0.60689      0.57031   0.82143
0.60929      0.57228   0.82006
0.61169      0.57425   0.81868
0.61409      0.57622   0.81730
0.61649      0.57818   0.81591
0.61890      0.58014   0.81452
0.62130      0.58209   0.81312
0.62370      0.58404   0.81172
0.62610      0.58599   0.81032
0.62850      0.58793   0.80891
0.63090      0.58988   0.80749
0.63331      0.59181   0.80608
0.63571      0.59375   0.80465
0.63811      0.59568   0.80322
0.64051      0.59761   0.80179
0.64291      0.59953   0.80035
0.64532      0.60145   0.79891
0.64772      0.60337   0.79746
0.65012      0.60528   0.79601
0.65252      0.60719   0.79455
0.65492      0.60910   0.79309
0.65733      0.61100   0.79163
0.65973      0.61290   0.79016
0.66213      0.61480   0.78868
0.66453      0.61669   0.78721
0.66693      0.61858   0.78572
0.66934      0.62046   0.78423
0.67174      0.62235   0.78274
0.67414      0.62423   0.78124
0.67654      0.62610   0.77974
0.67894      0.62797   0.77824
0.68135      0.62984   0.77673
0.68375      0.63170   0.77521
0.68615      0.63356   0.77369
0.68855      0.63542   0.77217
0.69095      0.63727   0.77064
0.69335      0.63912   0.76911
0.69576      0.64097   0.76757
0.69816      0.64281   0.76603
0.70056      0.64465   0.76448
0.70296      0.64648   0.76293
0.70536      0.64831   0.76138
0.70777      0.65014   0.75982
0.71017      0.65196   0.75825
0.71257      0.65378   0.75668
0.71497      0.65560   0.75511
0.71737      0.65741   0.75353
0.71978      0.65922   0.75195
0.72218      0.66102   0.75037
0.72458      0.66282   0.74878
0.72698      0.66462   0.74718
0.72938      0.66641   0.74559
0.73179      0.66820   0.74398
0.73419      0.66998   0.74238
0.73659      0.67177   0.74076
0.73899      0.67354   0.73915
0.74139      0.67532   0.73753
0.74380      0.67709   0.73590
0.74620      0.67885   0.73428
0.74860      0.68061   0.73264
0.75100      0.68237   0.73101
0.75340      0.68412   0.72937
0.75580      0.68587   0.72772
0.75821      0.68762   0.72607
0.76061      0.68936   0.72442
0.76301      0.69110   0.72276
0.76541      0.69283   0.72110
0.76781      0.69456   0.71943
0.77022      0.69629   0.71776
0.77262      0.69801   0.71609
0.77502      0.69973   0.71441
0.77742      0.70144   0.71272
0.77982      0.70315   0.71104
0.78223      0.70486   0.70935
0.78463      0.70656   0.70765
0.78703      0.70826   0.70595
0.78943      0.70995   0.70425
0.79183      0.71164   0.70254
0.79424      0.71333   0.70083
0.79664      0.71501   0.69912
0.79904      0.71669   0.69740
0.80144      0.71836   0.69567
0.80384      0.72003   0.69394
0.80624      0.72169   0.69221
0.80865      0.72335   0.69048
0.81105      0.72501   0.68874
0.81345      0.72666   0.68699
0.81585      0.72831   0.68525
0.81825      0.72995   0.68350
0.82066      0.73159   0.68174
0.82306      0.73323   0.67998
0.82546      0.73486   0.67822
0.82786      0.73649   0.67645
0.83026      0.73811   0.67468
0.83267      0.73973   0.67291
0.83507      0.74134   0.67113
0.83747      0.74295   0.66934
0.83987      0.74456   0.66756
0.84227      0.74616   0.66577
0.84468      0.74776   0.66397
0.84708      0.74935   0.66218
0.84948      0.75094   0.66037
0.85188      0.75252   0.65857
0.85428      0.75410   0.65676
0.85669      0.75568   0.65495
0.85909      0.75725   0.65313
0.86149      0.75881   0.65131
0.86389      0.76038   0.64948
0.86629      0.76193   0.64766
0.86869      0.76349   0.64582
0.87110      0.76504   0.64399
0.87350      0.76658   0.64215
0.87590      0.76812   0.64031
0.87830      0.76966   0.63846
0.88070      0.77119   0.63661
0.88311      0.77271   0.63475
0.88551      0.77424   0.63290
0.88791      0.77575   0.63103
0.89031      0.77727   0.62917
0.89271      0.77878   0.62730
0.89512      0.78028   0.62543
0.89752      0.78178   0.62355
0.89992      0.78328   0.62167
0.90232      0.78477   0.61979
0.90472      0.78625   0.61790
0.90713      0.78774   0.61601
0.90953      0.78921   0.61412
0.91193      0.79069   0.61222
0.91433      0.79215   0.61032
0.91673      0.79362   0.60842
0.91914      0.79508   0.60651
0.92154      0.79653   0.60460
0.92394      0.79798   0.60268
0.92634      0.79943   0.60076
0.92874      0.80087   0.59884
0.93114      0.80230   0.59692
0.93355      0.80374   0.59499
0.93595      0.80516   0.59305
0.93835      0.80658   0.59112
0.94075      0.80800   0.58918
0.94315      0.80941   0.58724
0.94556      0.81082   0.58529
0.94796      0.81223   0.58334
0.95036      0.81363   0.58139
0.95276      0.81502   0.57943
0.95516      0.81641   0.57747
0.95757      0.81779   0.57551
0.95997      0.81917   0.57355
0.96237      0.82055   0.57158
0.96477      0.82192   0.56960
0.96717      0.82328   0.56763
0.96958      0.82465   0.56565
0.97198      0.82600   0.56367
0.97438      0.82735   0.56168
0.97678      0.82870   0.55969
0.97918      0.83004   0.55770
0.98159      0.83138   0.55571
0.98399      0.83271   0.55371
0.98639      0.83404   0.55171
0.98879      0.83536   0.54970
0.99119      0.83668   0.54769
0.99359      0.83799   0.54568
0.99600      0.83930   0.54367
0.99840      0.84060   0.54165
1.00080      0.84190   0.53963
1.00320      0.84320   0.53760
1.00560      0.84449   0.53558
1.00801      0.84577   0.53355
1.01041      0.84705   0.53151
1.01281      0.84832   0.52948
1.01521      0.84959   0.52744
1.01761      0.85086   0.52540
1.02002      0.85212   0.52335
1.02242      0.85337   0.52130
1.02482      0.85462   0.51925
1.02722      0.85587   0.51720
1.02962      0.85711   0.51514
1.03203      0.85834   0.51308
1.03443      0.85957   0.51102
1.03683      0.86079   0.50895
1.03923      0.86201   0.50688
1.04163      0.86323   0.50481
1.04404      0.86444   0.50274
1.04644      0.86564   0.50066
1.04884      0.86684   0.49858
1.05124      0.86804   0.49649
1.05364      0.86923   0.49441
1.05604      0.87042   0.49232
1.05845      0.87160   0.49023
1.06085      0.87277   0.48813
1.06325      0.87394   0.48603
1.06565      0.87510   0.48393
1.06805      0.87626   0.48183
1.07046      0.87742   0.47972
1.07286      0.87857   0.47761
1.07526      0.87971   0.47550
1.07766      0.88085   0.47339
1.08006      0.88199   0.47127
1.08247      0.88312   0.46915
1.08487      0.88424   0.46703
1.08727      0.88536   0.46490
1.08967      0.88648   0.46278
1.09207      0.88758   0.46065
1.09448      0.88869   0.45851
1.09688      0.88979   0.45638
1.09928      0.89088   0.45424
1.10168      0.89197   0.45210
